Year,Mean EVI,Std EVI,Trend Slope,Intercept,R-value,P-value,Standard Error,Trend Significance
2001,122.77557,29.794056,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2002,117.489655,21.142153,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2003,113.37467,24.417444,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2004,107.68342,24.992182,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2005,110.40961,24.62517,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2006,111.35446,24.93266,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2007,111.41127,24.053543,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2008,112.92901,20.848518,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2009,107.61709,20.875982,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2010,111.72847,23.51611,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2011,114.74047,23.235619,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2012,114.705765,22.65178,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2013,109.717155,23.185936,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2014,120.33022,26.090847,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2015,110.39333,21.19988,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2016,107.2979,23.030867,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2017,113.50143,25.742054,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2018,116.80038,26.579298,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2019,112.051186,22.57527,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2020,113.46271,22.604486,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2021,110.18224,22.000526,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
2022,115.81074,30.53408,-0.061358378069472135,236.41176499895022,-0.10080599511751867,0.6553354364859729,0.13541120614284677,The trend is not statistically significant.
